,IP,Traceroute
0,69.73.60.141,"[[62, 115, 153], [76, 73, 191], [24, 96, 249], [216, 186, 189], [69, 73, 17]]"
1,69.73.60.141,"[[62, 115, 153], [76, 73, 191], [24, 96, 249], [216, 186, 189], [69, 73, 17]]"
2,69.73.60.141,"[[62, 115, 153], [76, 73, 191], [24, 96, 249], [216, 186, 189], [69, 73, 17]]"
3,69.73.60.141,"[[62, 115, 153], [76, 73, 191], [24, 96, 249], [216, 186, 189], [69, 73, 17]]"
4,69.73.60.141,"[[62, 115, 153], [76, 73, 191], [24, 96, 249], [216, 186, 189], [69, 73, 17]]"
5,69.73.60.141,"[[62, 115, 153], [76, 73, 191], [24, 96, 249], [216, 186, 189], [69, 73, 17]]"
6,69.73.60.141,"[[62, 115, 153], [76, 73, 191], [24, 96, 249], [216, 186, 189], [69, 73, 17]]"
7,69.73.60.141,"[[62, 115, 153], [76, 73, 191], [24, 96, 249], [216, 186, 189], [69, 73, 17]]"
8,69.73.60.141,"[[62, 115, 153], [76, 73, 191], [24, 96, 249], [216, 186, 189], [69, 73, 17]]"
9,69.73.60.141,"[[62, 115, 153], [76, 73, 191], [24, 96, 249], [216, 186, 189], [69, 73, 17]]"
10,69.73.60.141,"[[62, 115, 153], [76, 73, 191], [24, 96, 249], [216, 186, 189], [69, 73, 17]]"
11,69.73.60.141,"[[62, 115, 153], [76, 73, 191], [24, 96, 249], [216, 186, 189], [69, 73, 17]]"
12,69.73.60.141,"[[62, 115, 153], [76, 73, 191], [24, 96, 249], [216, 186, 189], [69, 73, 17]]"
13,69.73.60.141,"[[62, 115, 153], [76, 73, 191], [24, 96, 249], [216, 186, 189], [69, 73, 17]]"
14,69.73.60.141,"[[62, 115, 153], [76, 73, 191], [24, 96, 249], [216, 186, 189], [69, 73, 17]]"
15,69.73.60.141,"[[62, 115, 153], [76, 73, 191], [24, 96, 249], [216, 186, 189], [69, 73, 17]]"
16,69.73.60.141,"[[62, 115, 153], [76, 73, 191], [24, 96, 249], [216, 186, 189], [69, 73, 17]]"
17,69.73.60.141,"[[62, 115, 153], [76, 73, 191], [24, 96, 249], [216, 186, 189], [69, 73, 17]]"
