,IP,Traceroute,TTL,Latency,Delay
0,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.6,"[1.251, 1.373, 1.228, 20.136, 20.403]"
1,136.36.203.65,"[[4, 7, 18], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[7.945, 1.312, 1.378, 20.269, 20.32]"
2,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.285, 1.537, 1.51, 20.21, 20.265]"
3,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.2,"[1.498, 1.346, 2.972, 20.322, 20.39]"
4,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.494, 1.332, 5.006, 20.316, 20.31]"
5,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.396, 4.567, 1.271, 20.359, 20.353]"
6,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.583, 1.462, 1.279, 20.378, 20.45]"
7,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.566, 1.402, 1.266, 20.299, 20.314]"
8,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.315, 1.34, 3.65, 21.274, 20.331]"
9,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[2.128, 1.496, 1.342, 20.331, 20.324]"
10,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.195, 1.318, 6.294, 20.371, 20.366]"
11,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.352, 5.268, 1.331, 20.254, 20.415]"
12,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.687, 1.649, 1.957, 20.172, 20.257]"
13,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.412, 1.329, 2.544, 20.32, 20.314]"
14,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.3,"[1.335, 1.33, 1.231, 20.25, 20.417]"
15,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,21.0,"[1.486, 1.566, 1.393, 20.29, 20.405]"
16,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.241, 1.517, 3.396, 20.239, 21.138]"
17,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.277, 1.373, 3.202, 23.358, 23.348]"
18,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.519, 1.392, 1.267, 20.392, 20.641]"
19,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.209, 1.292, 1.38, 20.242, 20.43]"
20,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.686, 1.278, 1.609, 20.281, 20.38]"
21,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.317, 2.622, 1.239, 20.225, 20.208]"
22,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.248, 1.446, 1.271, 20.259, 20.507]"
23,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.7,"[1.297, 1.536, 1.304, 20.238, 20.212]"
24,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.513, 4.261, 2.268, 20.376, 20.371]"
25,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.49, 1.186, 1.332, 20.28, 20.588]"
26,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.3,"[1.337, 1.233, 1.424, 20.227, 20.366]"
27,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.309, 1.499, 1.301, 20.299, 20.167]"
28,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.274, 1.829, 1.321, 20.318, 20.309]"
29,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.367, 1.398, 2.431, 20.213, 20.379]"
30,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[2.359, 1.587, 1.525, 20.56, 20.555]"
31,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.5,"[1.298, 1.221, 1.306, 20.305, 20.382]"
32,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.386, 1.429, 2.229, 20.364, 20.319]"
33,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.7,"[1.531, 25.326, 3.577, 20.463, 20.365]"
34,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.559, 1.467, 1.327, 20.349, 20.552]"
35,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.332, 1.329, 1.685, 20.218, 20.441]"
36,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.693, 1.514, 1.339, 20.297, 20.489]"
37,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.3,"[1.556, 1.435, 1.343, 20.192, 20.351]"
38,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.7,"[1.521, 1.323, 1.244, 20.361, 20.618]"
39,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.7,"[1.556, 1.212, 3.761, 20.294, 20.252]"
40,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.281, 1.54, 2.337, 20.333, 20.358]"
41,136.36.203.65,"[[4, 68, 111], [64, 86, 160], [216, 6, 33], [192, 119, 17], [136, 36, 203]]",56.0,20.4,"[1.209, 1.466, 1.43, 22.004, 20.34]"
