,IP,Traceroute,TTL,Latency,Delay
0,72.160.10.9,"[[4, 68, 110], [67, 14, 33], [69, 29, 186]]",-1.0,-1.0,"[0.806, 0.969, 1.439, 44.184, 44.249]"
1,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.693, 1.421, 44.285, 44.347, 119.269]"
2,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,179.0,"[0.952, 1.594, 44.353, 44.35, 160.106]"
3,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,121.0,"[0.997, 1.396, 44.089, 44.127, 118.978]"
4,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,174.0,"[0.973, 1.526, 44.207, 44.247, 177.373]"
5,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,171.0,"[0.834, 1.444, 44.429, 44.424, 145.739]"
6,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[0.99, 1.294, 44.136, 44.18, 119.478]"
7,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.025, 1.779, 44.251, 44.288, 118.735]"
8,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[15.53, 1.598, 44.128, 44.165, 118.931]"
9,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,144.0,"[3.847, 3.634, 44.213, 44.251, 119.83]"
10,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[2.442, 1.312, 44.177, 44.263, 118.602]"
11,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,120.0,"[0.87, 1.384, 44.223, 44.281, 118.741]"
12,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[9.978, 1.477, 44.264, 44.46, 120.387]"
13,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[14.327, 1.434, 44.361, 44.315, 120.834]"
14,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,120.0,"[0.924, 5.968, 44.234, 44.433, 118.351]"
15,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[1.008, 1.396, 44.207, 44.263, 119.078]"
16,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[2.332, 1.377, 44.194, 44.457, 119.999]"
17,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[0.8, 1.332, 44.066, 44.089, 119.907]"
18,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[1.007, 1.475, 44.133, 44.181, 119.294]"
19,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,121.0,"[1.365, 1.277, 44.295, 44.367, 118.739]"
20,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[13.178, 1.43, 44.2, 44.248, 117.877]"
21,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[0.857, 2.389, 44.131, 44.233, 118.135]"
22,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[10.086, 1.279, 44.256, 44.288, 118.453]"
23,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,119.0,"[3.265, 1.223, 44.149, 44.41, 117.86]"
24,72.160.10.9,"[[67, 14, 33], [69, 29, 186], [72, 160, 10]]",54.0,118.0,"[0.858, 1.49, 44.386, 44.37, 118.088]"
