,IP,Traceroute
0,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
1,byu.edu,"[[97, 75, 191], [97, 75, 191], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
2,byu.edu,"[[97, 75, 191], [97, 75, 191], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
3,byu.edu,"[[97, 75, 190], [97, 75, 190], [69, 169, 182], [69, 169, 182], [128, 187, 16]]"
4,byu.edu,"[[97, 75, 191], [97, 75, 191], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
5,byu.edu,"[[97, 75, 191], [97, 75, 190], [69, 169, 182], [69, 169, 182], [128, 187, 16]]"
6,byu.edu,"[[97, 75, 190], [97, 75, 190], [69, 169, 182], [69, 169, 182], [128, 187, 16]]"
7,byu.edu,"[[208, 184, 5], [97, 75, 191], [97, 75, 190], [97, 75, 190], [128, 187, 16]]"
8,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
9,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 190], [128, 187, 16]]"
10,byu.edu,"[[208, 184, 5], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
11,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
12,byu.edu,"[[208, 184, 5], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
13,byu.edu,"[[208, 184, 5], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
14,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
15,byu.edu,"[[97, 75, 190], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
16,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [97, 75, 190], [128, 187, 16]]"
17,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
18,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
19,byu.edu,"[[97, 75, 191], [97, 75, 190], [69, 169, 182], [69, 169, 182], [128, 187, 16]]"
20,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
21,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
22,byu.edu,"[[97, 75, 191], [97, 75, 190], [69, 169, 182], [69, 169, 182], [128, 187, 16]]"
23,byu.edu,"[[97, 75, 190], [97, 75, 190], [69, 169, 182], [69, 169, 182], [128, 187, 16]]"
24,byu.edu,"[[97, 75, 191], [97, 75, 191], [97, 75, 190], [97, 75, 190], [128, 187, 16]]"
25,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
26,byu.edu,"[[97, 75, 191], [97, 75, 190], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
27,byu.edu,"[[97, 75, 191], [97, 75, 191], [97, 75, 190], [69, 169, 182], [128, 187, 16]]"
